date,us_pop,alcohol_deaths,alcohol_sales,drug_deaths,homicides,perc_unemp
2020-12-01,331750000.0,1.3995478522984174e-05,4.9238884702336094e-05,2.3876412961567445e-05,6.6706857573474e-06,2.019593067068576e-08
2020-11-01,331750000.0,1.334438583270535e-05,4.505199698568199e-05,2.3056518462697813e-05,6.697814619442351e-06,2.019593067068576e-08
2020-10-01,331700000.0,1.3141392824841725e-05,4.8803135363280074e-05,2.3252939403075067e-05,7.078685559240277e-06,2.08019294543262e-08
2020-09-01,331630000.0,1.2743117329554021e-05,4.675692790157706e-05,2.3477972439164128e-05,6.519313692971082e-06,2.3821729035370745e-08
2020-08-01,331560000.0,1.3155989866087586e-05,4.6088189166365064e-05,2.591687778984196e-05,7.015321510435517e-06,2.533478103510677e-08
2020-07-01,331500000.0,1.360180995475113e-05,4.726998491704374e-05,2.6621417797888386e-05,7.26395173453997e-06,3.076923076923077e-08
2020-06-01,331450000.0,1.2725901342585609e-05,4.861065017348016e-05,2.5623774324935888e-05,6.773268969678685e-06,3.318750942826972e-08
2020-05-01,331420000.0,1.2217126304990647e-05,4.223341982982318e-05,2.9406795003319052e-05,6.2186953110856315e-06,3.9828616257317e-08
2020-04-01,331450000.0,1.1561321466284507e-05,3.6904510484235935e-05,2.4932870719565545e-05,5.25569467491326e-06,4.4350580781414995e-08
2020-03-01,329340000.0,1.0806461407663812e-05,4.062974433715917e-05,2.2942855407785266e-05,5.119329568227364e-06,1.3360053440213762e-08
2020-02-01,329240000.0,9.834770987729317e-06,3.422123678775361e-05,2.0322561049690196e-05,4.437492406754951e-06,1.063054306888592e-08
2020-01-01,329140000.0,1.1056085556298232e-05,3.214437625326609e-05,2.0839156589900953e-05,5.171051832047154e-06,1.0633772862611655e-08
2019-12-01,329020000.0,1.0704516442769437e-05,4.9109476627560635e-05,2.0156829372074647e-05,5.212449091240654e-06,1.094158409823111e-08
2019-11-01,328890000.0,1.0292194958800815e-05,4.150931922527289e-05,1.988810848611998e-05,4.9408616862780866e-06,1.0945908966523762e-08
2019-10-01,328740000.0,9.773681328709618e-06,4.377015270426477e-05,1.96447040214151e-05,4.897487376041857e-06,1.0950903449534587e-08
2019-09-01,328580000.0,9.586706433745207e-06,3.929636618175178e-05,1.871690303731207e-05,5.012477935358208e-06,1.0651896037494674e-08
2019-08-01,328410000.0,9.823086994914892e-06,4.280624828720197e-05,1.9880637008617278e-05,4.990712828476599e-06,1.126640479887945e-08
2019-07-01,328240000.0,1.0032293443821595e-05,4.068669266390446e-05,1.975688520594687e-05,5.267487204484524e-06,1.1272239824518646e-08
2019-06-01,328100000.0,9.62816214568729e-06,4.31118561414203e-05,1.86924718073758e-05,5.099055166107894e-06,1.097226455348979e-08
2019-05-01,327960000.0,9.90669593852909e-06,4.399926820343944e-05,1.8834613977314305e-05,5.067691181851445e-06,1.0976948408342482e-08
2019-04-01,327840000.0,9.516837481698389e-06,3.948267447535383e-05,1.78898243045388e-05,4.404587603709126e-06,1.0980966325036603e-08
2019-03-01,327730000.0,9.877032923443078e-06,3.75339456259726e-05,1.8911909193543466e-05,4.476245690049736e-06,1.1594910444573276e-08
2019-02-01,327640000.0,9.235746551092662e-06,3.306372848248077e-05,1.675009156391161e-05,4.13868880478574e-06,1.1598095470638506e-08
2019-01-01,327540000.0,1.0572754472736154e-05,3.189534102705013e-05,1.7875679306344263e-05,4.805519936496306e-06,1.2212248885632288e-08
2018-12-01,327430000.0,9.944110191491311e-06,4.6342729743762025e-05,1.798552362336988e-05,4.75216076718688e-06,1.1910942796933696e-08
2018-11-01,327310000.0,9.849989306773396e-06,4.2119091992300877e-05,1.6736427240230973e-05,4.530872872811707e-06,1.1609788885154745e-08
2018-10-01,327170000.0,9.511874560625975e-06,4.1351590916037535e-05,1.7889782070483235e-05,4.621450622000795e-06,1.16147568542348e-08
2018-09-01,327010000.0,9.024188862725911e-06,3.676645974129232e-05,1.7800678878321765e-05,4.932570869392374e-06,1.131463869606434e-08
2018-08-01,326850000.0,9.591555759522718e-06,4.219672632706134e-05,1.8754780480342665e-05,4.9166284228239255e-06,1.1626128193360869e-08
2018-07-01,326690000.0,9.75848663870948e-06,3.748201659065169e-05,1.922923872784597e-05,5.3720652606446475e-06,1.1631822216780433e-08
2018-06-01,326530000.0,9.294704927571739e-06,4.330383119468349e-05,1.876703518819098e-05,5.126634612439898e-06,1.2250022968793066e-08
2018-05-01,326390000.0,9.225160084561415e-06,4.202334630350195e-05,1.8582064401482888e-05,4.7764943778914795e-06,1.1642513557400654e-08
2018-04-01,326260000.0,9.109299331821247e-06,3.532765279225158e-05,1.7936614969656103e-05,4.8182431189848586e-06,1.2260160608103966e-08
2018-03-01,326140000.0,9.673759735083093e-06,3.7621880174158334e-05,1.8731219721591955e-05,4.4428772919605076e-06,1.226467161341755e-08
2018-02-01,326030000.0,8.707787626905499e-06,3.0957273870502714e-05,1.6958562095512682e-05,4.220470508848879e-06,1.2575529859215409e-08
2018-01-01,325930000.0,1.0588163102506674e-05,2.8463166937686007e-05,1.8442610376461204e-05,5.1360721627343296e-06,1.2272573865553953e-08
2017-12-01,325800000.0,1.0156537753222837e-05,4.261203192142419e-05,1.8793738489871086e-05,4.8496009821976675e-06,1.258440761203192e-08
2017-11-01,325660000.0,9.239697844377571e-06,3.9673278879813304e-05,1.776085487932199e-05,5.057421851010256e-06,1.2896886323159123e-08
2017-10-01,325510000.0,9.277748763478848e-06,3.808177936161716e-05,1.7876562932014377e-05,5.299376363245369e-06,1.2902829406162638e-08
