date,us_pop,alcohol_deaths,alcohol_sales,drug_deaths,homicides,perc_unemp,suicide_deaths,h1n1_deaths,covid_deaths
2000-01-31,280730000.0,0.6654080433156414,1.5114166636982154,0.6315676985003384,0.0,0.0,0.9233070922238448,0.0,0.0
2000-02-29,280940000.0,0.5841104862248166,1.7626539474620917,0.59016160034171,0.0,0.0,0.8322061650174414,0.0,0.0
2000-03-31,281160000.0,0.5783183952198037,2.136861573481292,0.6099729691278987,0.0,0.0,0.8962868117797694,0.0,0.0
2000-04-30,281420000.0,0.5529102409210432,1.902139151446237,0.627176462227276,0.0,0.0,0.8823111363797882,0.0,0.0
2000-05-31,281640000.0,0.5638403635847181,2.2848317000426075,0.6465700894759268,0.0,0.0,0.9309757136770344,0.0,0.0
2000-06-30,281890000.0,0.5463123913583313,2.367235446450743,0.5995246372698569,0.0,0.0,0.8673596083578701,0.0,0.0
2000-07-31,282160000.0,0.5642188829033172,1.9974482563084768,0.5787496455911539,0.0,0.0,0.8796427558831869,0.0,0.0
2000-08-31,282420000.0,0.5792790878832944,2.347567452729977,0.5782168401671269,0.0,0.0,0.9050350541746336,0.0,0.0
2000-09-30,282690000.0,0.5320315539990803,2.082493190420602,0.5376914641480066,0.0,0.0,0.8263468817432522,0.0,0.0
2000-10-31,282960000.0,0.6163415323720668,2.234238054848742,0.5053717839977382,0.0,0.0,0.8764489680520214,0.0,0.0
2000-11-30,283200000.0,0.5741525423728814,2.3022598870056497,0.5286016949152542,0.0,0.0,0.8026129943502824,0.0,0.0
2000-12-31,283440000.0,0.6075359864521592,2.356054191363252,0.5592012418854079,0.0,0.0,0.7842929720575783,0.0,0.0
2001-01-31,283650000.0,0.6490393090075798,1.7916446324695927,0.6046183677066808,0.0,0.0,0.8848933544861626,0.0,0.0
2001-02-28,283840000.0,0.5837795941375422,1.837655016910936,0.5418545659526494,0.0,0.0,0.8201803833145433,0.0,0.0
2001-03-31,284050000.0,0.5854603062841048,2.074634747403626,0.6164407674705158,0.0,0.0,0.8963210702341138,0.0,0.0
2001-04-30,284270000.0,0.5878214373658845,2.073380940655011,0.6532521898195378,0.0,0.0,0.9142716431561544,0.0,0.0
2001-05-31,284490000.0,0.5768216809026679,2.3898906815705296,0.657316601638019,0.0,0.0,0.9655875426201272,0.0,0.0
2001-06-30,284730000.0,0.552101991360236,2.3415165244266496,0.6507919783654691,0.0,0.0,0.899097390510308,0.0,0.0
2001-07-31,284970000.0,0.5639190090184931,2.236726672983121,0.7263922518159807,0.0,0.0,0.9636102045829388,0.0,0.0
2001-08-31,285220000.0,0.5655283640698409,2.398148797419536,0.6917467218287637,0.0,0.0,0.9375219129093332,0.0,0.0
2001-09-30,285490000.0,0.5958177169077726,1.952782934603664,0.6157833899611195,0.0,0.0,0.8431118427965953,0.0,0.0
2001-10-31,285690000.0,0.6101018586579859,2.290944730302076,0.629353495047079,0.0,0.0,0.9062270292974902,0.0,0.0
2001-11-30,285920000.0,0.559247341913822,2.374440402909905,0.6085618354784555,0.0,0.0,0.878917179630666,0.0,0.0
2001-12-31,286140000.0,0.6311595722373663,2.509261200810792,0.6227720696162717,0.0,0.0,0.8397986999370937,0.0,0.0
2002-01-31,286340000.0,0.6268771390654466,1.7870363903052315,0.7648250331773416,0.0,0.0,0.9638890829084305,0.0,0.0
2002-02-28,286540000.0,0.5482655126683883,1.8992112794025269,0.6965868639631465,0.0,0.0,0.843861241013471,0.0,0.0
2002-03-31,286720000.0,0.60791015625,2.210170200892857,0.7882254464285714,0.0,0.0,0.91064453125,0.0,0.0
2002-04-30,286930000.0,0.5788868365106472,2.274073815913289,0.7730108388805632,0.0,0.0,0.9598159829923676,0.0,0.0
2002-05-31,287150000.0,0.5770503221312903,2.5129723141215394,0.7936618492077311,0.0,5.8,0.9663938707992338,0.0,0.0
2002-06-30,287390000.0,0.5706531194543999,2.3525522808726818,0.7456766067016946,0.0,5.8,0.9005184592365774,0.0,0.0
2002-07-31,287630000.0,0.5979904738726837,2.4190800681431006,0.7874700135590863,0.0,5.8,0.9779925598859646,0.0,0.0
2002-08-31,287870000.0,0.5863757946295203,2.4559697085489978,0.7579810331052211,0.0,5.7,0.9695348594851844,0.0,0.0
2002-09-30,288130000.0,0.568493388401069,2.1337590670877726,0.6951723180508798,0.0,5.7,0.9190296046923264,0.0,0.0
2002-10-31,288380000.0,0.5742423191622166,2.4009986822941958,0.7441570150495874,0.0,5.7,0.8977737707191898,0.0,0.0
2002-11-30,288610000.0,0.5779425522331174,2.3270156959218324,0.7740549530508299,0.0,5.9,0.8596375731956619,0.0,0.0
2002-12-31,288800000.0,0.6166897506925207,2.761426592797784,0.7354570637119114,0.0,6.0,0.8403739612188366,0.0,0.0
2003-01-31,289000000.0,0.6515570934256055,1.842906574394464,0.8332179930795848,0.0,5.8,0.9314878892733564,0.0,0.0
2003-02-28,289130000.0,0.5485421782589147,1.9399578044478265,0.8006778957562342,0.0,5.9,0.7961816483934562,0.0,0.0
2003-03-31,289260000.0,0.6011892415128258,2.2173822858328145,0.8521745142778123,0.0,5.9,0.9586531148447764,0.0,0.0
2003-04-30,289400000.0,0.5691085003455425,2.32930200414651,0.8026952315134762,0.0,6.0,0.911195577055978,0.0,0.0
2003-05-31,289550000.0,0.5708858573648765,2.467276808841305,0.8803315489552754,0.0,6.1,0.961837333793818,0.0,0.0
2003-06-30,289820000.0,0.5541370505831206,2.4611828031191774,0.8391415361258712,0.0,6.3,0.9671520253950728,0.0,0.0
